source	title	description	url	publishedAt	content
Mental Floss	Time After Time: The Surprising Connection Between Taylor Swift’s “22” and Hanson’s “MMMBop”	It’s possible to sing the chorus to Hanson’s 1997 smash “MMMBop” over the chords to Taylor Swift’s 2012 hit “22.”	https://www.mentalfloss.com/posts/taylor-swift-22-hanson-mmmbop-surprising-connection	2023-11-15T22:00:01Z	On a recent episode of the Rolling Stone Music Now podcast, host Brian Hiatt shared a revelation he had while watching the blockbuster concert film Taylor Swift: The Eras Tour: Its possible to sing t… [+2972 chars]
/FILM	How To Watch Taylor Swift: The Eras Tour At Home	Move over Hugh Jackman, there&amp;#39;s a new &amp;#39;Greatest Showman,&amp;#39; and her name is Taylor Swift. Here&amp;#39;s how you can watch Taylor Swift: The Eras Tour at home.	https://www.slashfilm.com/1455668/watch-taylor-swift-eras-tour-at-home/	2023-11-27T15:38:15Z	"After making the huge mistake of underestimating Swift and her fans, and allowing her to make an independent deal with movie theaters for the ""Eras Tour"" concert film, Hollywood has finally wisened u… [+1058 chars]"
Business Insider	The tech billionaires trying to hack longevity and live forever	The wealthiest CEOs, billionaires, and entrepreneurs in the tech who want to use their riches to hack the secret to longevity and live longer.	https://www.businessinsider.com/richest-wealthiest-entrepreneurs-ceo-billionaires-tech-searching-hacking-longevity	2023-12-07T16:18:07Z	From Sam Altman (from top left, clockwise) to Peter Thiel, Mark Zuckerberg, Jeff Bezos, and Sergey Brin, many of the world's wealthiest billionaires seem to be on a quest for the fountain of youth.Lu… [+15821 chars]
ComingSoon.net	Role Play Streaming Release Date: When Is It Coming Out on Amazon Prime Video?	The Role Play Amazon Prime Video release date is fast approaching, and viewers are wondering when they can start streaming the movie online. This action thriller movie follows the adventures of a married couple, Emma and Dave, whose lives turn upside down aft…	https://www.comingsoon.net/guides/news/1416794-role-play-streaming-release-date-when-is-it-coming-out-on-amazon-prime-video	2023-11-28T12:21:31Z	"The Role Play Amazon Prime Video release date is fast approaching, and viewers are wondering when they can start streaming the movie online.
This action thriller movie follows the adventures of a ma… [+2261 chars]"
ComingSoon.net	Love Island USA Season 6 Release Date Rumors: When Is It Coming Out?	Love Island USA is the US version of the British series Love Island and revolves around a group of contestants trying to find a romantic partner while residing in a villa on an island. Since its premiere on July 9, 2019, the series has experienced huge popula…	https://www.comingsoon.net/guides/news/1416668-love-island-usa-season-6-release-date-rumors-when-is-it-coming-out	2023-11-28T10:51:18Z	Love Island USA is the US version of the British series Love Island and revolves around a group of contestants trying to find a romantic partner while residing in a villa on an island. Since its prem… [+2118 chars]
Forbes	Taylor Swift Is The First Living Artist To Chart 5 Top 10 Albums Simultaneously	Taylor Swift matches Prince as the only artists to occupy five spots inside the top 10 on the Billboard 200.	https://www.forbes.com/sites/hughmcintyre/2023/12/04/taylor-swift-is-the-first-living-artist-to-chart-5-top-10-albums-simultaneously/	2023-12-04T17:55:33Z	"MEXICO CITY, MEXICO - AUGUST 24: EDITORIAL USE ONLY. Taylor Swift performs onstage during the ... [+] ""Taylor Swift | The Eras Tour"" at Foro Sol on August 24, 2023 in Mexico City, Mexico. (Photo by H… [+2164 chars]"
IndieWire	Martin Scorsese Honors Robbie Robertson’s Legacy with Tribute Concert: The Musician ‘Broke Barriers’	"The late The Band guitarist and the auteur collaborated on films like ""Raging Bull,"" ""The Wolf of Wall Street,"" and ""Killers of the Flower Moon."""	https://www.indiewire.com/news/breaking-news/martin-scorsese-robbie-robertson-broke-barriers-film-scores-1234927328/	2023-11-16T22:00:00Z	Martin Scorsese honored late rocker Robbie Robertson with the tribute concert “Robbie Robertson: A Celebration of His Life and Music,” during which the auteur recalled how Robertson’s scores marked a… [+4713 chars]
ComingSoon.net	Box Office Results: Hunger Games Snakes by Napoleon and Wish	Snow lands on top! The Hunger Games: The Ballad of Songbirds & Snakes topped the Thanksgiving box office in its second weekend, hauling in $28.8 million (3-day, -35%) and $41.1M (5-day) to bring its domestic total to $98.3M per Deadline. The prequel remained …	https://www.comingsoon.net/movies/news/1415420-box-office-results-hunger-games-snakes-by-napoleon-and-wish	2023-11-26T21:05:11Z	Snow lands on top! The Hunger Games: The Ballad of Songbirds &amp; Snakes topped the Thanksgiving box office in its second weekend, hauling in $28.8 million (3-day, -35%) and $41.1M (5-day) to bring … [+2727 chars]
/FILM	The Marvels Star Iman Vellani Says The Box Office Is Disney CEO Bob Iger's Problem	The Marvels&amp;#39; Imran Vellani has wise words for those who wonder what she thinks about the MCU movie&amp;#39;s box office performance.	https://www.slashfilm.com/1451806/the-marvels-iman-vellani-box-office-disney-ceo-bob-iger-problem/	2023-11-20T23:45:53Z	"Iman Vellani even called out Disney CEO Bob Iger by name, saying: ""I don't want to focus on something that's not even in my control, because what's the point? [...] That's for Bob Iger.""
Prior to th… [+1449 chars]"
ComingSoon.net	The Exorcist: Believer Peacock Release Date Announced for Blumhouse Sequel	After over a month since making its theatrical debut, the Peacock release date for Blumhouse’s supernatural sequel The Exorcist: Believer has finally been revealed. The film will be available for streaming starting on December 1 on Peacock. During its theatri…	https://www.comingsoon.net/movies/news/1407024-the-exorcist-believer-peacock-release-date-blumhouse	2023-11-17T18:16:08Z	After over a month since making its theatrical debut, the Peacock release date for Blumhouses supernatural sequel The Exorcist: Believer has finally been revealed. The film will be available for stre… [+1304 chars]
ComingSoon.net	Box Office Results: The Marvels Fails to Ignite	Disney/Marvel’s The Marvels failed to get off the ground in its debut weekend, collecting a meager $47 million at the domestic box office. The pic ranks as the lowest opening for an MCU film to date, falling short of The Incredible Hulk’s $55M opening in 2008…	https://www.comingsoon.net/movies/news/1399336-box-office-results-the-marvels-fails-to-ignite	2023-11-12T20:50:44Z	Disney/Marvels The Marvels failed to get off the ground in its debut weekend, collecting a meager $47 million at the domestic box office. The pic ranks as the lowest opening for an MCU film to date, … [+2590 chars]
Business Insider	A definitive ranking of the new theme colors on the godawful Slack update	The new Slack update comes with custom themes. Some color combinations are not so bad, but others should be misdemeanors. Here's a definitive ranking.	https://www.businessinsider.com/new-slack-ui-update-design-custom-themes-colors-ranked-2023-11	2023-11-14T02:53:32Z	"A screenshot of new Slack settings.Insider
<ul><li>Everyone is freaking out about the new Slack update.</li><li>It includes lots of new theme colors, including gradient mixes.</li><li>Some colors ar… [+4646 chars]"
Los Angeles Times	The movies are back. But we're still learning how to love going to theaters again	From 'Barbenheimer' to 'Taylor Swift: The Eras Tour,' people are going to cinemas again. But a post-pandemic, post-strike Hollywood has its work cut out for it.	https://www.latimes.com/entertainment-arts/movies/story/2023-11-22/falling-back-in-love-with-moviegoing-theaters-justin-chang-critic-essay	2023-11-22T23:00:57Z	One of my most heartening moviegoing experiences this year fell on July 24, the night I attended a press screening of Disneys Haunted Mansion at the AMC Burbank 16. The movie was lousy, but the presh… [+12430 chars]
Forbes	The MCU Is Dying, And Only A Supervillain Can Save It	The Marvels is a bomb, and the MCU seems in need of a hero, or rather, a villain.	https://www.forbes.com/sites/danidiplacido/2023/11/12/the-mcu-is-dying-and-only-a-supervillain-can-save-it/	2023-11-12T20:02:16Z	"Brie Larson, Teyonah Parris, Iman Vellani, Lashana Lynch, Kevin Feige (President, Marvel Studios)
The Walt Disney Company via Getty Images
The death of the Marvel Cinematic Universe has been predic… [+10667 chars]"
IndieWire	Does Marvel Have a Gen-Z Problem? Just 19% of ‘The Marvels’ Audience Was 18-24	"Just 19 percent of ""The Marvels"" audience was 18-24; compare that to 40 percent for ""Captain Marvel."""	https://www.indiewire.com/news/business/marvel-gen-z-problem-viewers-age-18-24-1234925056/	2023-11-14T20:00:00Z	Matt Ramos, 22, was just 7 years old when the original “Iron Man” hit theaters. He was not the target audience for the film; nor was his Gen-Z responsible for making Marvel and the MCU a cultural and… [+9111 chars]
/FILM	Marvel Instituted An MCU-Wide Rule After Working With Edward Norton	Edward Norton has long been blamed for The Incredible Hulk&amp;#39;s under-performance, but there&amp;#39;s another way of looking at that film and how it shaped the MCU.	https://www.slashfilm.com/1461581/marvel-mcu-incredible-hulk-anti-edward-norton-rule/	2023-12-09T14:00:53Z	"I'd say the more apt comparison for how Marvel Studios makes their movies is not the Hollywood studio system, but Stan Lee's ""Marvel method"" of making comics (where the artists did most of the work, … [+1593 chars]"
TheWrap	Beyoncé’s ‘Renaissance’ Earns $5 Million at Thursday Box Office	"The second major AMC-distributed concert flick of the season earned nearly double the preview grosses of ""Taylor Swift: The Eras Tour""
The post Beyoncé’s ‘Renaissance’ Earns $5 Million at Thursday Box Office appeared first on TheWrap."	http://www.thewrap.com/beyonce-renaissance-thursday-box-office/	2023-12-01T16:18:08Z	Once again, while the movie star may be an endangered species, the rock star is alive and well. Rennaissance: A Film By Beyoncé earned a robust $5.06 million in Thursday screenings in advance of its … [+1318 chars]
IndieWire	Lily Gladstone Warns of ‘Killers of the Flower Moon’ Triggers: Native Audiences Will Feel ‘Generational Grief’ Onscreen	"""Never forget this story is recent history with a lasting impact on breathing, feeling people today,"" Gladstone wrote on social media."	https://www.indiewire.com/news/general-news/lily-gladstone-warns-killers-of-the-flower-moon-triggering-1234925454/	2023-11-10T20:36:29Z	"Lily Gladstone is issuing a warning before audiences watch Martin Scorsese’s “Killers of the Flower Moon,” especially Indigenous audiences.
The lead actress of the film took to social media (via The… [+3771 chars]"
Deadline	Camerimage Festival Director Shares Statement About Adam Driver’s Viral Expletive Response During ‘Ferrari’ Audience Q&A	Adam Driver’s lowkey visit to Poland’s EnergaCamerimage Film Festival turned into a viral meme over the weekend after the actor gave an expletive response to a question during an audience Q&A following a screening of Ferrari.  Marek Zydowicz, the festival’s d…	https://deadline.com/2023/11/camerimage-adam-driver-cheesy-scenes-ferrari-1235601587/	2023-11-13T22:44:12Z	Adam Driver’s lowkey visit to Poland’s EnergaCamerimage Film Festival turned into a viral meme over the weekend after the actor gave an expletive response to a question during an audience Q&amp;A fol… [+2470 chars]
The Next Web	These AI agents could cut your workweek to just 3 days	Most of us would love a break from the 9-to-5 grind, evidenced by the recent hype over the four-day workweek. But a new startup from the UK promises to help you toil even less than that — while remaining just as productive.   The company is called Tomoro and …	https://thenextweb.com/news/ai-agents-three-day-workweek	2023-11-21T09:00:46Z	Most of us would love a break from the 9-to-5 grind, evidenced by the recent hype over the four-day workweek. But a new startup from the UK promises to help you toil even less than that while remaini… [+2252 chars]
ComingSoon.net	Willy’s Wonderland 4K UHD Release Date Revealed for Nic Cage’s Animatronic Horror	With the massive success of Blumhouse’s Five Nights at Freddy’s, it’s a great time to give the 2021 animatronic horror movie Willy’s Wonderland another shot, and to help that, it’s now getting a 4K UHD Blu-ray release. The movie will also be released in 4K St…	https://www.comingsoon.net/movies/news/1419479-willys-wonderland-4k-uhd	2023-11-29T19:41:00Z	With the massive success of Blumhouses Five Nights at Freddys, its a great time to give the 2021 animatronic horror movie Willys Wonderland another shot, and to help that, its now getting a 4K UHD Bl… [+1053 chars]
Forbes	‘The Marvels’ Tallies Only $21.5 Million On Box Office Opening Day Despite $220 Million Budget, Report Says	The movie is projected to deliver the worst weekend box office debut in Marvel Cinematic Universe history.	https://www.forbes.com/sites/antoniopequenoiv/2023/11/11/the-marvels-tallies-only-215-million-on-box-office-opening-day-despite-220-million-budget-report-says/	2023-11-11T17:50:05Z	The Marvels, the 33rd movie in the Disney-owned Marvel Cinematic Universe, is shaping up to have the lowest box office opening weekend ever for an MCU movie, according to multiplereports, with Variet… [+2977 chars]
Screen Rant	Killers Of The Flower Moon Box Office Crosses Worldwide Milestone Despite Dropping Out Of US Top 10	Killers of the Flower Moon's box office crosses a major milestone despite dropping out of the Top 10 in the US over the Thanksgiving weekend.	https://screenrant.com/killers-flower-moon-global-box-office-milestone/	2023-11-27T18:56:44Z	"Summary
<ul><li> Despite dropping out of the Top 10 in the US, Killers of the Flower Moon has crossed the $150 million milestone at the worldwide box office. </li><li> The movie, produced on a massi… [+2716 chars]"
The Times of India	Superhero movie 'The Marvels' underperforms in USA, struggles to cross $47 mn over weekend	"​'The Marvels,' a complicated sci-fi yarn about quantum entanglement, ""jump points"" and holes in space, also stars Teyonah Parris and Iman Vellani."	https://economictimes.indiatimes.com/magazines/panache/superhero-movie-the-marvels-underperforms-in-usa-struggles-to-cross-47-mn-over-weekend/articleshow/105184629.cms	2023-11-13T10:24:52Z	Los Angeles, Nov 13, 2023: New superhero film 'The Marvels' is making history, and not in a good way: its estimated $47 million North American take over the weekend marks the lowest debut ever for a … [+2344 chars]
Mediagazer.com	Taylor Swift: The Eras Tour crosses $250M at the global box office, with $178.2M in North America and $71.8M overseas, and now stands at 19 on the global chart (Pamela McClintock/The Hollywood Reporter)	"Pamela McClintock / The Hollywood Reporter:
Taylor Swift: The Eras Tour crosses $250M at the global box office, with $178.2M in North America and $71.8M overseas, and now stands at 19 on the global chart  —  The concert pic — costing a mere $15 million to mak…"	https://mediagazer.com/231128/p7	2023-11-28T13:25:09Z	"Mediagazer presents the day's must-read media news on a single page.
The media business is in tumult: from the production side to
the distribution side, new technologies are upending the industry.… [+416 chars]"
Los Angeles Times	2024 Oscars shaping up as a 'Barbenheimer' sequel	"""Barbie"" and ""Oppenheimer"" ruled the summer. Now it looks like they'll take over the Oscars. We comb through the categories to see how many nominations they'll likely earn."	https://www.latimes.com/entertainment-arts/awards/story/2023-11-13/barbenheimer-oscars-barbie-oppenheimer-nominations-predictions	2023-11-13T13:00:24Z	A long time ago relatively, in this short-attention-span age and at multiplexes not so far away, the simultaneous theatrical release of Barbie and Oppenheimer was pretty much all anyone could talk ab… [+7872 chars]
Showbiz411	NY Film Critics Circle Give Best Film to Scorsese's 'KILLERS,' Director to 'OPPENHEIMER'S' Nolan...	"The New York Film Critics Circle have chosen Killers of the Flower Moon as Best picture of 2023.

Christopher Nolan, Director of Oppenheimer, is Best Firector in a wise split with Martin Scorsese's epic.

The group will welcome the two best movies and directo…"	https://www.showbiz411.com/2023/11/30/ny-film-critics-circle-give-best-film-to-scorseses-killers-director-to-oppenheimers-nolan	2023-11-30T19:10:38Z	"HomeMoviesNY Film Critics Circle Give Best Film to Scorsese’s Killers, Director to...
The New York Film Critics Circle have chosen Killers of the Flower Moon as Best picture of 2023.
Christopher No… [+364 chars]"
Just Jared	National Board of Review Names Best Movies & Actors of 2023 - Full Winners List Revealed!	The National Board of Review is announcing their picks for the best of the best in film! The organization revealed their choices on Wednesday (December 6). The winner of NBR’s best film has typically gone on to receive an Oscar nomination for best picture, wi…	https://www.justjared.com/2023/12/06/national-board-of-review-names-best-movies-of-2023-full-winners-list-revealed/	2023-12-06T21:41:39Z	"The National Board of Review is announcing their picks for the best of the best in film!
The organization revealed their choices on Wednesday (December 6).
The winner of NBRs best film has typicall… [+2685 chars]"
Biztoc.com	SPOILERS! What Happens To Cecilia In Saw X?! #saw #jigsaw #horror #movies	Saw X's ambiguous ending leaves plenty of room for speculation about what happens to Cecilia after John Kramer's final twist. #sawx #cecilia #johnkramer	https://biztoc.com/x/d26cee55173bc6be	2023-11-09T20:40:08Z	"Saw X's ambiguous ending leaves plenty of room for speculation about what happens to Cecilia after John Kramer's final twist.
#sawx#cecilia#johnkramer
This story appeared on youtube.com, ."
ComingSoon.net	Priscilla Digital Release Date Set for A24 Elvis Movie	A24 has finally set the Priscilla digital release for Sofia Coppola‘s latest directorial feature, which revolves around the relationship between Elvis and Priscilla Presley told through the perspective of Priscilla. This comes after more than a month since th…	https://www.comingsoon.net/movies/news/1429768-priscilla-digital-release-date-set-for-a24-elvis-movie	2023-12-06T21:56:16Z	A24 has finally set the Priscilla digital release for Sofia Coppolas latest directorial feature, which revolves around the relationship between Elvis and Priscilla Presley told through the perspectiv… [+1375 chars]
/FILM	Netflix's May December Is The Latest Chapter In 2023's Reckoning With True Crime Stories	May December shows why we must remember that true crime tales are more than simple stories and those involved are not characters, but people.	https://www.slashfilm.com/1460187/may-december-latest-chapter-in-2023s-reckoning-with-true-crime-stories/	2023-12-02T17:00:01Z	"2023 saw the finale of ""Barry,"" Bill Hader's HBO series about a hitman wanting to be an actor. The series ends with a show-within-a-show; Barry's son John (Jaeden Martell) watches ""The Mask Collector… [+1659 chars]"
IGN	The Marvels Wins the Box Office But Has the Worst MCU Opening Weekend of All Time	While The Marvels may have won the domestic weekend box office, it also had the worst MCU opening of all time with ticket sales of $47.0 million.	https://www.ign.com/articles/the-marvels-wins-the-box-office-but-has-the-worst-mcu-opening-weekend-of-all-time	2023-11-12T17:19:21Z	"While The Marvels may have won the domestic weekend box office, it also had the worst MCU opening of all time with ticket sales of $47.0 million.
As reported by Comscore, The Marvels' performance pl… [+2218 chars]"
/FILM	The Marvels Is On Track For One Of The MCU's Lowest Box Office Openings	Bad news for The Marvels: the latest from the Marvel Cinematic Universe looks to be headed towards a less-than-great opening weekend at the box office.	https://www.slashfilm.com/1443945/the-marvels-box-office-opening-weekend/	2023-11-10T21:00:00Z	Even in the most optimistic scenario, an over/under $60 million domestic opening for a movie with a budget well north of $200 million is not good. International ticket sales appear to be similarly so… [+1463 chars]
Historytoday.com	Napoleon: Two Centuries of Life After Death	Revolutionary soldier or tyrannical emperor? The question is as pertinent now as when Napoleon Bonaparte died in exile on remote Saint Helena in 1821.	https://www.historytoday.com/archive/feature/napoleon-two-centuries-life-after-death	2023-11-25T05:14:51Z	"Napoleon on his Deathbed on St Helena, by Denzil O. Ibbetson, 1821.
The French press announced the following on 7 July 1821:
We received the English papers of the 4th of this month by special dispa… [+17453 chars]"
Rogerebert.com	Killers of the Flower Moon, Oppenheimer, Poor Things Lead CFCA Nominations	The Chicago Film Critics Association nominees.	https://www.rogerebert.com/festivals/killers-of-the-flower-moon-oppenheimer-poor-things-lead-cfca-nominations	2023-12-08T16:52:53Z	A trio of films won over the Chicago Film Critics Association this year, all landing double digit nominations, the first time three movies have done that in the same year. The 'Barbenheimer' craze wo… [+4206 chars]
/FILM	The Marvels Just Had The Biggest Second Weekend Drop Ever For A Superhero Movie	The Marvel Cinematic Universe is good and truly in trouble, with The Marvels collapsing at the box office in its second weekend.	https://www.slashfilm.com/1451537/the-marvels-biggest-second-weekend-drop-ever-superhero-movie/	2023-11-20T20:00:39Z	"The situation with ""The Marvels"" has gone from bad to record-breaking levels of bad. The latest entry in the Marvel Cinematic Universe opened last weekend to a pretty underwhelming $46.1 million, whi… [+1626 chars]"
Digital Journal	‘The Marvels’ has a far from marvelous N.America opening	New superhero film “The Marvels” is making history, and not in a good way: its estimated $47 million North American take over the weekend marks the lowest debut ever for a movie from Disney’s normally money-cranking Marvel Cinematic Universe. “This opening is…	https://www.digitaljournal.com/world/the-marvels-has-a-far-from-marvelous-n-america-opening/article	2023-11-13T01:14:06Z	"Brie Larson attends a New York showing of 'The Marvels' on November 10, 2023 - Copyright GETTY IMAGES NORTH AMERICA/AFP/File Jason Mendez
New superhero film “The Marvels” is making history, and not … [+2465 chars]"
iPhone in Canada	Taylor Swift ‘The Eras Tour’ Streams in Canada This December	Taylor Swift’s ‘The Eras Tour’ has announced the film will hit streaming services in Canada and the U.S. in December, marking the first two countries to see the latter stream online. The ‘Extended Version’ that will hit streaming in Canada for rent on Decembe…	https://www.iphoneincanada.ca/2023/11/27/taylor-swift-eras-tour-streams-canada-december/	2023-11-27T17:20:16Z	"Taylor Swifts The Eras Tour has announced the film will hit streaming services in Canada and the U.S. in December, marking the first two countries to see the latter stream online.
The Extended Versi… [+336 chars]"
BroBible	Steven Spielberg Shares His Glowing Review Of Martin Scorsese’s ‘Killers of the Flower Moon’	You can count Steven Spielberg as a fan of Killers of the Flower Moon, to say the least. During a recent Q&A session at the DGA Theatre in Los Angeles following a screening of Killers of the Flower Moon, Spielberg showered his longtime friend and cinematic pe…	https://brobible.com/culture/article/steven-spielberg-killers-of-the-flower-moon-scorsese-masterpiece/	2023-11-20T16:54:44Z	"Getty Image
You can count Steven Spielberg as a fan of Killers of the Flower Moon, to say the least.
During a recent Q&amp;A session at the DGA Theatre in Los Angeles following a screening of Kille… [+1679 chars]"
IGN	Martin Scorsese's TikTok Stardom Was Accidental: 'I Was Tricked Into That'	"Martin Scorsese, famed film maker behind Taxi Driver, Killers of the Flower Moon, The Wolf of Wall Street, and so many more, is now, accidentally, a TikTok star. ""I was tricked into that,"" he said."	https://www.ign.com/articles/martin-scorseses-tiktok-stardom-was-accidental-i-was-tricked-into-that	2023-11-16T16:08:24Z	"Martin Scorsese, famed film maker behind Taxi Driver, Killers of the Flower Moon, The Wolf of Wall Street, and so many more, is now, accidentally, a TikTok star. ""I was tricked into that,"" he said.
… [+1488 chars]"
Gizmodo.com	Peacock Is Adding The Exorcist: Believer to Your Christmas Stocking	One of the most anticipated horror movies of 2023 is about to make its Peacock debut. And while The Exorcist: Believer didn’t exactly set critics on fire, here’s your chance to check out David Gordon Green’s would-be franchise reviver and trilogy-starter ahea…	https://gizmodo.com/peacock-streaming-exorcist-believer-horror-december-1-1851031600	2023-11-17T18:20:00Z	One of the most anticipated horror movies of 2023 is about to make its Peacock debut. And while The Exorcist: Believerdidnt exactly set critics on fire, heres your chance to check out David Gordon Gr… [+1082 chars]
ReadWrite	OpenAI’s ChatGPT faces cyberattack-induced outages	"OpenAI, the creator of the AI chatbot ChatGPT, encountered several service disruptions on Wednesday, raising concerns about a potential cyberattack. […]
The post OpenAI’s ChatGPT faces cyberattack-induced outages appeared first on ReadWrite."	https://readwrite.com/openais-chatgpt-faces-cyberattack-induced-outages/	2023-11-10T15:23:10Z	OpenAI, the creator of the AI chatbot ChatGPT, encountered several service disruptions on Wednesday, raising concerns about a potential cyberattack. The platform, which had just recovered from a sign… [+1876 chars]
Time	The Movie Wives Would Like a Word	In 'Maestro,' 'Priscilla,' 'Ferrari,' and 'Oppenheimer,' the movie wife has come barging in from the sidelines in all her glory.	https://time.com/6336804/movie-wives-maestro-ferrari-priscilla-oppenheimer/	2023-11-21T13:30:00Z	The mid-20thcentury wife is such a vivid type in popular art that we think weve got her down cold; in our minds, shes usually a June Cleaver cliché. But in real life the midcentury wife faced dauntin… [+8370 chars]
Forbes	Taylor Swift’s New Album Would Have Gone To No. 1 Based On CD Sales Alone	Taylor Swift's new album '1989 (Taylor's Version)' was so popular upon its arrival that it would have gone to No. 1 if it had only been released on CD.	https://www.forbes.com/sites/hughmcintyre/2023/11/09/taylor-swifts-new-album-would-have-gone-to-no-1-based-on-cd-sales-alone/	2023-11-09T17:00:40Z	KANSAS CITY, MISSOURI - JULY 07: EDITORIAL USE ONLY. NO BOOK COVERS. Taylor Swift performs onstage ... [+] for night one of Taylor Swift | The Eras Tour at GEHA Field at Arrowhead Stadium on July 07,… [+2289 chars]
AppleInsider	'Killers of the Flower Moon' gets digital release before Apple TV+ streaming debut	"Potential viewers of the Martin Scorsese-directed ""Killers of the Flower Moon"" have a bit longer to wait to watch the film on Apple TV+, but it will be made available to buy and rent digitally ahead of its streaming service release.Lily Gladstone and Leonardo…"	https://appleinsider.com/articles/23/12/04/killers-of-the-flower-moon-gets-digital-release-before-apple-tv-streaming-debut	2023-12-04T17:19:40Z	"Lily Gladstone and Leonardo DiCaprio in 'Killers of the Flower Moon'
Potential viewers of the Martin Scorsese-directed ""Killers of the Flower Moon"" have a bit longer to wait to watch the film on App… [+1275 chars]"
The A.V. Club	The Marvels raises the question: How many times is Marvel going to tease us with [REDACTED]?	[This story contains big, massive, obvious spoilers for The Marvels. You’ve been warned!]Read more...	https://www.avclub.com/the-marvels-raises-the-question-how-many-times-is-marv-1851013483	2023-11-11T02:36:00Z	"[This story contains big, massive, obvious spoilers for The Marvels. Youve been warned!]
Nia DaCostas The Marvels opens in theaters this weekend, bringing together Brie Larson, Teyonah Parris, and I… [+2656 chars]"
Forbes	What Taylor Swift Can Teach Us About Leadership	Taylor Swift isn’t just an incredibly savvy entrepreneur, she consistently demonstrates sophisticated leadership qualities that can be applied in any workplace:	https://www.forbes.com/sites/jameshudson/2023/11/12/what-taylor-swift-can-teach-us-about-leadership/	2023-11-12T13:00:00Z	"Taylor Swift performs onstage for the opening night of ""Taylor Swift | The Eras Tour"" at State Farm ... [+] Stadium in Swift City, ERAzona (Glendale, Arizona). The city of Glendale, Arizona was cerem… [+5409 chars]"
Polygon	The Creator, Blue Beetle, Netflix’s Rustin, and every new movie to watch this weekend	Makoto Shinkai’s new fantasy anime comes to Crunchyroll this week, along with the streaming debut of The Creator, Blue Beetle, and more new movies to watch.	https://www.polygon.com/2023/11/17/23958827/new-movies-watch-creator-netflix-rustin-blue-beetle-max-suzume-crunchyroll-streaming	2023-11-17T23:15:00Z	"Happy Friday, Polygon readers!
Each week, we round up the most notable releases new to streaming and VOD, highlighting the biggest and best new movies for you to watch at home. 
This week, The Crea… [+10814 chars]"
/FILM	The Marvels Musical Planet Scene Was Originally Longer, And Iman Vellani Loved It [Exclusive]	Iman Vellani loved filming the musical sequence on Aladna in The Marvels but was disappointed to see how much of it was left out of the theatrical cut.	https://www.slashfilm.com/1446867/the-marvels-musical-planet-scene-longer-iman-vellani-loved-it/	2023-11-14T22:00:55Z	"When asked about the cut and/or reshot scenes for ""The Marvels,"" Vellani was forthcoming, saying:
""There's a longer version of the Aladna dance. I am a musical theater nerd, and I loved it. They sen… [+1523 chars]"
Forbes	Taylor Swift’s Concert Film Could Mean Great Things For Her Next Movie	Taylor Swift has reportedly written a movie that she wants to direct. While not much has been heard about this project in months, she's in a better spot to make it now.	https://www.forbes.com/sites/hughmcintyre/2023/11/27/taylor-swifts-concert-film-could-mean-great-things-for-her-next-movie/	2023-11-27T13:00:00Z	TORONTO, ONTARIO - SEPTEMBER 09: (NO COVERS) Taylor Swift attends 'In Conversation With... Taylor ... [+] Swift' during the 2022 Toronto International Film Festival at TIFF Bell Lightbox on September… [+3888 chars]
International Business Times	'The Marvels' Has A Far From Marvelous N.America Opening	"New superhero film ""The Marvels"" is making history, and not in a good way: its estimated $47 million North American take over the weekend marks the lowest debut ever for a movie from Disney's normally money-cranking Marvel Cinematic Universe."	https://www.ibtimes.com/marvels-has-far-marvelous-namerica-opening-3718316	2023-11-13T01:15:30Z	"New superhero film ""The Marvels"" is making history, and not in a good way: its estimated $47 million North American take over the weekend marks the lowest debut ever for a movie from Disney's normall… [+2325 chars]"
The A.V. Club	Bob Iger throws Nia DaCosta under the bus, says The Marvels needed more “supervision” from execs	Marvel’s The Marvels stands as the biggest box office flop in the history of the MCU, having made less than $80 million domestically since it came out about a month ago, and while star Iman Vellani doesn’t care and is happy with the work she did, others are d…	https://www.avclub.com/bob-iger-the-marvels-supervision-execs-1851062343	2023-11-30T19:06:00Z	Marvels The Marvelsstands as the biggest box office flop in the history of the MCU, having made less than $80 million domestically since it came out about a month ago, and while star Iman Vellani doe… [+1493 chars]
tomandlorenzo.com	KILLERS OF THE FLOWER MOON Star Lily Gladstone in Gucci at ELLE’s 2023 Women in Hollywood Celebration	Sometimes, we feature a dress for no other reason than it’s pretty and the wearer looks great in it, even if the design or styling doesn’t lend itself to much in the way of dissection and discussion. In other words, here’s Killers of the Flower Moon star Lily…	https://tomandlorenzo.com/2023/12/killers-of-the-flower-moon-star-lily-gladstone-in-gucci-at-elles-2023-women-in-hollywood-celebration/	2023-12-06T17:45:37Z	"Archives: 
Select
 December 2023 
 November 2023 
 October 2023 
 September 2023 
 August 2023 
 July 2023 
 June 2023 
 May 2023 
 April 2023 
 March 2023 
 February 2023 
 January 2023… [+3052 chars]"
